"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"CA-TP1", "89104", "GRP_HEIGHTC", , "5.07", "Mean", , , "20111015", , , , , , 
"CA-TP2", "89105", "GRP_HEIGHTC", , "9.1", "Mean", , , "20040923", , , , , , 
"CA-TP2", "89106", "GRP_HEIGHTC", , "11.5", "Mean", , , "20070927", , , , , , 
"CA-TP3", "89107", "GRP_HEIGHTC", , "11.2", "Mean", , , "20040927", , , , , , 
"CA-TP3", "89108", "GRP_HEIGHTC", , "12.5", "Mean", , , "20071104", , , , , , 
"CA-TP3", "89109", "GRP_HEIGHTC", , "16.2", "Mean", , , "20121016", , , , , , 
"CA-TP4", "89110", "GRP_HEIGHTC", , "21.8", "Mean", , , "20071024", , , , , , 
"CA-TP4", "89111", "GRP_HEIGHTC", , "20.3", "Mean", , , "20040927", , , , , , 
"CA-TP4", "89112", "GRP_HEIGHTC", , "23.4", "Mean", , , "20121015", , , , , , 
"CA-TPD", "88369", "GRP_HEIGHTC", , "25.7", "Mean", , , "20120105", , , , , , 
"CA-WP1", "25480", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 3.4; Stand density (#/ha) 1358; measured followed Flucnet-Canada protocol", "3.4", , , , "2004", , , , , , 
"CA-WP1", "26629", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 2.5; Stand density (#/ha) 1637; measured followed Flucnet-Canada protocol", "2.6", , , , "2004", , , , , , 
"US-AR1", "88238", "GRP_HEIGHTC", "Peak growth", "0.5", "Mean", , , "201105", , , , , , 
"US-AR1", "88239", "GRP_HEIGHTC", "Planting date", "0", "Minimum", , , "201004", , , , , , 
"US-AR2", "88364", "GRP_HEIGHTC", "Planting date", "0", "Mean", , , "201004", , , , , , 
"US-AR2", "88365", "GRP_HEIGHTC", "Peak growth", "0.5", "Mean", , , "201105", , , , , , 
"US-ARb", "88237", "GRP_HEIGHTC", "field burn date", "0.1", "Mean", , , "20090309", , , , , , 
"US-ARc", "88347", "GRP_HEIGHTC", "control field", "0.4", "Mean", , , "20090309", , , , , , 
"US-ARM", "89218", "GRP_HEIGHTC", "planted wheat (unknown type)", "0", "Mean", , , "20131025", , , , , , 
"US-ARM", "89219", "GRP_HEIGHTC", "corn stubble", "0", "Mean", , , "20051002", , , , , , 
