"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"US-CF3", "86633", "GRP_DOI_ORGANIZATION", "USDA ARS", "Originator", 
"US-CF4", "86630", "GRP_DOI_ORGANIZATION", "USDA ARS", "Sponsor", 
"US-CF4", "86631", "GRP_DOI_ORGANIZATION", "USDA ARS", "Originator", 
"US-ChR", "32005", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-ChR", "32006", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Cop", "32284", "GRP_DOI_ORGANIZATION", "University of Utah and USGS", "Sponsor", 
"US-Cop", "32285", "GRP_DOI_ORGANIZATION", "University of Utah", "Originator", 
"US-CPk", "32381", "GRP_DOI_ORGANIZATION", "NSF Hydrologic Science, UW Ag Experiment Station, McIntire-Stennis, Wyoming water development commission, USGS", "Sponsor", 
"US-CPk", "32382", "GRP_DOI_ORGANIZATION", "University of Wyoming", "Originator", 
"US-CRT", "32408", "GRP_DOI_ORGANIZATION", "NOAA & NSF", "Sponsor", 
"US-CRT", "32409", "GRP_DOI_ORGANIZATION", "University of Toledo / Michigan State University", "Originator", 
"US-Ctn", "32244", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-Ctn", "32245", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-CZ2", "79457", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-CZ2", "79458", "GRP_DOI_ORGANIZATION", "UC Irvine", "Originator", 
"US-CZ3", "79463", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-CZ3", "79464", "GRP_DOI_ORGANIZATION", "UC Irvine", "Originator", 
"US-CZ4", "79460", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-CZ4", "79461", "GRP_DOI_ORGANIZATION", "UC Irvine", "Originator", 
"US-Dia", "32365", "GRP_DOI_ORGANIZATION", "DOE", "Sponsor", 
"US-Dia", "32366", "GRP_DOI_ORGANIZATION", "Lawrence Livermore National Laboratory", "Originator", 
"US-Dix", "32008", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-Dix", "32009", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Dk1", "32013", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Dk1", "32014", "GRP_DOI_ORGANIZATION", "Indiana University", "Originator", 
"US-Dk1", "32015", "GRP_DOI_ORGANIZATION", "Montana State University", "Originator", 
"US-Dk1", "32016", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Dk2", "32020", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-Dk2", "32021", "GRP_DOI_ORGANIZATION", "Montana State University", "Originator", 
"US-Dk2", "32022", "GRP_DOI_ORGANIZATION", "Indiana University", "Originator", 
"US-Dk2", "32023", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Dk3", "32027", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Dk3", "32028", "GRP_DOI_ORGANIZATION", "Indiana University", "Originator", 
"US-Dk3", "32029", "GRP_DOI_ORGANIZATION", "Montana State University", "Originator", 
"US-Dk3", "32030", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-DPW", "87971", "GRP_DOI_ORGANIZATION", "The Nature Conservancy hosted a research project by UCF funded by DOE", "Sponsor", 
"US-DPW", "87979", "GRP_DOI_ORGANIZATION", "University of Central Florida", "Originator", 
"US-EDN", "86910", "GRP_DOI_ORGANIZATION", "Cal State East Bay (CSUEB)", "Sponsor", 
"US-EDN", "86911", "GRP_DOI_ORGANIZATION", "Clifornia State University, East Bay", "Originator", 
"US-Elm", "32248", "GRP_DOI_ORGANIZATION", "NSF/OPP", "Sponsor", 
"US-Elm", "32249", "GRP_DOI_ORGANIZATION", "Florida International University", "Originator", 
"US-Elm", "32250", "GRP_DOI_ORGANIZATION", "University of Alabama", "Originator", 
"US-EML", "33696", "GRP_DOI_ORGANIZATION", "DOE, LTER, US-National Park Service", "Sponsor", 
"US-EML", "33697", "GRP_DOI_ORGANIZATION", "University of Northern Arizona", "Originator", 
"US-Esm", "32253", "GRP_DOI_ORGANIZATION", "NSF/OPP", "Sponsor", 
"US-Esm", "32254", "GRP_DOI_ORGANIZATION", "University of Alabama", "Originator", 
