"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"US-CF3", "84850", "GRP_SITE_FUNDING", "USDA ARS", 
"US-CF4", "84870", "GRP_SITE_FUNDING", "USDA ARS", 
"US-ChR", "9299", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Cop", "7552", "GRP_SITE_FUNDING", "University of Utah and USGS", 
"US-CPk", "86479", "GRP_SITE_FUNDING", "NSF Hydrologic Science, NSF Ecosystems, UW Ag Experiment Station, McIntire-Stennis, Wyoming water development commission, USGS", 
"US-CRT", "12775", "GRP_SITE_FUNDING", "NOAA & NSF", 
"US-CS1", "83382", "GRP_SITE_FUNDING", "Wisconsin Potato and Vegetable Growers Association, Wisconsin Department of Natural Resources", 
"US-CS2", "87360", "GRP_SITE_FUNDING", "Wisconsin Department of Natural Resources", 
"US-CS3", "87393", "GRP_SITE_FUNDING", "Wisconsin Department of Natural Resources", 
"US-Cst", "13221", "GRP_SITE_FUNDING", "some direct support is provided by USDA", 
"US-Ctn", "7553", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Cwt", "85006", "GRP_SITE_FUNDING", "USDA Forest Service", 
"US-CZ1", "30814", "GRP_SITE_FUNDING", "NSF", 
"US-CZ2", "30830", "GRP_SITE_FUNDING", "NSF", 
"US-CZ3", "30859", "GRP_SITE_FUNDING", "NSF", 
"US-CZ4", "30844", "GRP_SITE_FUNDING", "NSF", 
"US-Dea", "11417", "GRP_SITE_FUNDING", "University of California Agriculture and Natural Resources", 
"US-Deu", "11437", "GRP_SITE_FUNDING", "University of California Agriculture and Natural Resources", 
"US-DFK", "87342", "GRP_SITE_FUNDING", "Patagonia provisions, US Department of Agriculture", 
"US-Dia", "11509", "GRP_SITE_FUNDING", "DOE", 
"US-Dix", "5867", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-Dk1", "10141", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Dk2", "5868", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-Dk3", "6704", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-DPP", "86722", "GRP_SITE_FUNDING", "The Nature Conservancy hosted a research project by UCF funded by DOE", 
"US-DPW", "86885", "GRP_SITE_FUNDING", "The Nature Conservancy hosted a research project by UCF funded by DOE", 
"US-EDN", "84714", "GRP_SITE_FUNDING", "Cal State East Bay (CSUEB)", 
"US-Elm", "750", "GRP_SITE_FUNDING", "NSF/OPP", 
"US-EML", "11157", "GRP_SITE_FUNDING", "DOE, LTER, US-National Park Service", 
"US-Esm", "751", "GRP_SITE_FUNDING", "NSF/OPP", 
"US-Fcr", "85262", "GRP_SITE_FUNDING", "ArCS, KAKENHI", 
"US-Fmf", "12006", "GRP_SITE_FUNDING", "USDA-NRICGP/NACP", 
"US-FPe", "6705", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-FR1", "9301", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-FR2", "10142", "GRP_SITE_FUNDING", "DOE/NICCR", 
"US-FR3", "4111", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-Fuf", "12026", "GRP_SITE_FUNDING", "USDA-NRICGP/NACP", 
"US-Fwf", "12051", "GRP_SITE_FUNDING", "USDA-NRICGP/NACP", 
"US-GBT", "16027", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-GCE", "86864", "GRP_SITE_FUNDING", "National Science Foundation", 
"US-GLE", "15344", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-GMF", "5869", "GRP_SITE_FUNDING", "DOE/NIGEC, NSF", 
"US-Goo", "1607", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-GZ1", "85777", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-GZ2", "85814", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-GZ3", "85888", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-Ha1", "11969", "GRP_SITE_FUNDING", "DOE/TES (AmeriFlux Core site), NSF/LTER", 
"US-Ha2", "12594", "GRP_SITE_FUNDING", "DOE/TCP, NSF", 
"US-HB1", "79522", "GRP_SITE_FUNDING", "NOAA SC Sea Grant Consortium", 
"US-HBK", "81459", "GRP_SITE_FUNDING", "LTER, Plymouth State University,", 
"US-Hn1", "83541", "GRP_SITE_FUNDING", "Department of Energy, Office of Science", 
"US-Hn2", "83486", "GRP_SITE_FUNDING", "Department of Energy, Office of Science", 
"US-Hn3", "83519", "GRP_SITE_FUNDING", "Department of Energy, Office of Science", 
"US-Ho1", "11459", "GRP_SITE_FUNDING", "DOE/NIGEC, USDA Forest Service", 
"US-Ho2", "11492", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ho3", "11788", "GRP_SITE_FUNDING", "DOE/C Seq. Program", 
"US-HPY", "30554", "GRP_SITE_FUNDING", "none", 
"US-HRA", "12935", "GRP_SITE_FUNDING", "USDA, University of Arkansas, USGS", 
"US-HRC", "12953", "GRP_SITE_FUNDING", "USDA, University of Arkansas, USGS", 
"US-HRN", "87854", "GRP_SITE_FUNDING", "USDA-NRCS", 
"US-HRP", "31145", "GRP_SITE_FUNDING", "Initially funded by NSF and NOAA.", 
"US-HRS", "33525", "GRP_SITE_FUNDING", "USDA-NRCS", 
"US-HVa", "15785", "GRP_SITE_FUNDING", "NSF", 
"US-IB1", "2459", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-IB2", "9303", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-ICh", "12076", "GRP_SITE_FUNDING", "NSF", 
"US-ICs", "12096", "GRP_SITE_FUNDING", "NSF", 
"US-ICt", "12116", "GRP_SITE_FUNDING", "NSF", 
"US-Ivo", "14912", "GRP_SITE_FUNDING", "NSF/OPP; NASA-JPL/CARVE; DOE", 
"US-JLN", "85689", "GRP_SITE_FUNDING", "University of Maryland; USDA", 
"US-JLR", "85701", "GRP_SITE_FUNDING", "University of Maryland; USDA", 
"US-JRn", "87866", "GRP_SITE_FUNDING", "NSF, Ohio Water Resources Center", 
"US-KCM", "33552", "GRP_SITE_FUNDING", "Support for our research has been provided by:
1. The National Science Foundation
2. United States Department of Agriculture
3. The U.S. Department of Energy", 
"US-KFB", "13176", "GRP_SITE_FUNDING", "NSF", 
"US-KFS", "11522", "GRP_SITE_FUNDING", "NSF", 
"US-KL1", "14600", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-KL2", "14625", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-KL3", "14651", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-KLS", "13200", "GRP_SITE_FUNDING", "NSF", 
"US-KM1", "14677", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
"US-KM2", "14703", "GRP_SITE_FUNDING", "USDOE-GLBRC, NSF-LTER, MSU AgBioResearch", 
