"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "WD_BIOMASS_CRS", "WD_BIOMASS_UNIT", "WD_BIOMASS_DATE", "WD_BIOMASS_COMMENT", "WD_BIOMASS_FINE", "WD_BIOMASS_CRS_SPATIAL_VARIABILITY", "WD_BIOMASS_CRS_SPATIAL_REP_NUMBER", "WD_BIOMASS_APPROACH", "WD_BIOMASS_FINE_SPATIAL_VARIABILITY", "WD_BIOMASS_FINE_SPATIAL_REP_NUMBER", "WD_BIOMASS_DATE_UNC", 
"US-Fuf", "28845", "GRP_WD_BIOMASS", "498", "gC m-2", "20060609", "including FWD", , , , , , , , 
"US-Fwf", "27733", "GRP_WD_BIOMASS", "2483", "gC m-2", "20050609", "including FWD", , , , , , , , 
"US-Ha1", "17304", "GRP_WD_BIOMASS", "521", "gC m-2", "2000", , , "345", "24", "CWD is all pieces of dead wood >7.5cm in diameter, measured length and diamter at ends and middle, scaled to volume using Newton's formula, and then scaled to biomass using decay class specific densities from Liu et al. 2006. FWD Includes debris with diameter 2-7.5 cm diameter. Line transect method. Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data", , , , 
"US-Ha1", "17310", "GRP_WD_BIOMASS", , "gC m-2", "2001", , "105", , , "CWD is all pieces of dead wood >7.5cm in diameter, measured length and diamter at ends and middle, scaled to volume using Newton's formula, and then scaled to biomass using decay class specific densities from Liu et al. 2006. FWD Includes debris with diameter 2-7.5 cm diameter. Line transect method. Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data", "96", "26", , 
"US-Ha1", "17316", "GRP_WD_BIOMASS", "584", "gC m-2", "2003", , "173", "478", "15", "CWD is all pieces of dead wood >7.5cm in diameter, measured length and diamter at ends and middle, scaled to volume using Newton's formula, and then scaled to biomass using decay class specific densities from Liu et al. 2006. FWD Includes debris with diameter 2-7.5 cm diameter. Line transect method. Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data", "122", "40", , 
"US-Ha1", "17322", "GRP_WD_BIOMASS", "649", "gC m-2", "2006", , "162", "428", "33", "CWD is all pieces of dead wood >7.5cm in diameter, measured length and diamter at ends and middle, scaled to volume using Newton's formula, and then scaled to biomass using decay class specific densities from Liu et al. 2006. FWD Includes debris with diameter 2-7.5 cm diameter. Line transect method. Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data", "113", "30", , 
"US-Ha1", "17326", "GRP_WD_BIOMASS", "843", "gC m-2", "2009", , "167", "572", "33", "CWD is all pieces of dead wood >7.5cm in diameter, measured length and diamter at ends and middle, scaled to volume using Newton's formula, and then scaled to biomass using decay class specific densities from Liu et al. 2006. FWD Includes debris with diameter 2-7.5 cm diameter. Line transect method. Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data", "127", "30", , 
"US-Ho1", "23720", "GRP_WD_BIOMASS", "410", "gC m-2", "19990729", "aproximate date of measurement", , , , , , , , 
"US-Ho2", "24748", "GRP_WD_BIOMASS", "410", "gC m-2", "19990729", "aproximate date of measurement; same as Main (US-Ho1)", , , , , , , , 
"US-Me1", "24566", "GRP_WD_BIOMASS", "0", "gC m-2", "2003", , "30.3", , , , , , , 
