"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "REFERENCE_PAPER", "REFERENCE_DOI", "REFERENCE_USAGE", 
"BR-Sa3", "1700000288", "GRP_REFERENCE_PAPER", "Baker, T. R., Phillips, O. L., Malhi, Y., Almeida, S., Arroyo, L., Di Fiore, A., Erwin, T., Killeen, T. J., Laurance, S. G., Laurance, W. F., Lewis, S. L., Lloyd, J., Monteagudo, A., Neill, D. A., Patino, S., Pitman, N. C., M. Silva, J. N., Vasquez Martinez, R. (2004) Variation In Wood Density Determines Spatial Patterns Inamazonian Forest Biomass, Global Change Biology, 10(5), 545-562", "10.1111/j.1365-2486.2004.00751.x", "Reference", 
"BR-Sa3", "1700001020", "GRP_REFERENCE_PAPER", "Bruno, R. D., da Rocha, H. R., de Freitas, H. C., Goulden, M. L., Miller, S. D. (2006) Soil Moisture Dynamics In An Eastern Amazonian Tropical Forest, Hydrological Processes, 20(12), 2477-2489", "10.1002/hyp.6211", "Reference", 
"BR-Sa3", "1700001179", "GRP_REFERENCE_PAPER", "Chambers, J. Q., Tribuzy, E. S., Toledo, L. C., Crispim, B. F., Higuchi, N., Santos, J. d., Araújo, A. C., Kruijt, B., Nobre, A. D., Trumbore, S. E. (2004) Respiration From A Tropical Forest Ecosystem: Partitioning Of Sources And Low Carbon Use Efficiency, Ecological Applications, 14(sp4), 72-88", "10.1890/01-6012", "Reference", 
"BR-Sa3", "1700001425", "GRP_REFERENCE_PAPER", "Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287", "10.1029/2018GL079306", "Reference", 
"BR-Sa3", "1700001560", "GRP_REFERENCE_PAPER", "Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(5), 9275–9287", "10.1029/2018GL079306", "Reference", 
"BR-Sa3", "1700002031", "GRP_REFERENCE_PAPER", "da Rocha, H. R., Goulden, M. L., Miller, S. D., Menton, M. C., Pinto, L. D., de Freitas, H. C., e Silva Figueira, A. M. (2004) Seasonality Of Water And Heat Fluxes Over A Tropical Forest In Eastern Amazonia, Ecological Applications, 14(sp4), 22-32", "10.1890/02-6001", "Reference", 
"BR-Sa3", "1700002529", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"BR-Sa3", "1700004140", "GRP_REFERENCE_PAPER", "Goulden, M. L., Miller, S. D., da Rocha, H. R. (2006) Nocturnal Cold Air Drainage And Pooling In A Tropical Forest, Journal Of Geophysical Research, 111(D8), n/a-n/a", "10.1029/2005jd006037", "Reference", 
"BR-Sa3", "1700004143", "GRP_REFERENCE_PAPER", "Goulden, M. L., Miller, S. D., da Rocha, H. R., Menton, M. C., de Freitas, H. C., e Silva Figueira, A. M., de Sousa, C. A. (2004) Diel And Seasonal Patterns Of Tropical Forest CO2 Exchange, Ecological Applications, 14(sp4), 42-54", "10.1890/02-6008", "Reference", 
"BR-Sa3", "1700004998", "GRP_REFERENCE_PAPER", "Keller, M., Alencar, A., Asner, G. P., Braswell, B., Bustamante, M., Davidson, E., Feldpausch, T., Fernandes, E., Goulden, M., Kabat, P., Kruijt, B., Luizão, F., Miller, S., Markewitz, D., Nobre, A. D., Nobre, C. A., Priante Filho, N., da Rocha, H., Silva Dias, P., von Randow, C., Vourlitis, G. L. (2004) Ecological Research In The Large-Scale Biosphere– Atmosphere Experiment In Amazonia: Early Results, Ecological Applications, 14(sp4), 3-16", "10.1890/03-6003", "Reference", 
