"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_CROP", "AG_BIOMASS_CROP_ORGAN", "AG_BIOMASS_CROP_PHEN", "AG_BIOMASS_CROP_UNIT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", 
"US-Ne2", "28739", "GRP_AG_BIOMASS_CROP", "42.7688", "Foliage", "Mixed/unknown", "gC m-2", , "20070614", "(assuming 43#9% C)", 
"US-Ne2", "28888", "GRP_AG_BIOMASS_CROP", "2.27066", "Foliage", "Mixed/unknown", "gC m-2", , "20060602", "(assuming 43#9% C)", 
"US-Ne2", "28892", "GRP_AG_BIOMASS_CROP", "914.206", "Foliage", "Mixed/unknown", "gC m-2", , "20050919", "(assuming 43#9% C)", 
"US-Ne2", "28896", "GRP_AG_BIOMASS_CROP", "3.76646", "Foliage", "Mixed/unknown", "gC m-2", , "20070529", "(assuming 43#9% C)", 
"US-Ne2", "28897", "GRP_AG_BIOMASS_CROP", "19.464", "Foliage", "Mixed/unknown", "gC m-2", , "20070607", "(assuming 43#9% C)", 
"US-Ne2", "29254", "GRP_AG_BIOMASS_CROP", "75.9857", "Foliage", "Mixed/unknown", "gC m-2", , "20060714", "(assuming 43#9% C)", 
"US-Ne2", "29256", "GRP_AG_BIOMASS_CROP", "1145.93", "Foliage", "Mixed/unknown", "gC m-2", , "20070911", "(assuming 43#9% C)", 
"US-Ne2", "29264", "GRP_AG_BIOMASS_CROP", "791.896", "Foliage", "Mixed/unknown", "gC m-2", , "20010820", "(assuming 43#9% C)", 
"US-Ne2", "29265", "GRP_AG_BIOMASS_CROP", "14.6292", "Foliage", "Mixed/unknown", "gC m-2", , "20020625", "(assuming 43#9% C)", 
"US-Ne2", "29266", "GRP_AG_BIOMASS_CROP", "141.215", "Foliage", "Mixed/unknown", "gC m-2", , "20020724", "(assuming 43#9% C)", 
"US-Ne2", "29267", "GRP_AG_BIOMASS_CROP", "293.25", "Foliage", "Mixed/unknown", "gC m-2", , "20030716", "(assuming 43#9% C)", 
"US-Ne2", "29268", "GRP_AG_BIOMASS_CROP", "157.884", "Foliage", "Mixed/unknown", "gC m-2", , "20040813", "(assuming 43#9% C)", 
"US-Ne2", "29273", "GRP_AG_BIOMASS_CROP", "330.107", "Foliage", "Mixed/unknown", "gC m-2", , "20070710", "(assuming 43#9% C)", 
"US-Ne2", "29274", "GRP_AG_BIOMASS_CROP", "640.068", "Foliage", "Mixed/unknown", "gC m-2", , "20070725", "(assuming 43#9% C)", 
"US-Ne2", "29371", "GRP_AG_BIOMASS_CROP", "1028.83", "Foliage", "Mixed/unknown", "gC m-2", , "20070927", "(assuming 43#9% C)", 
"US-Ne2", "29376", "GRP_AG_BIOMASS_CROP", "0.397693", "Foliage", "Mixed/unknown", "gC m-2", , "20010529", "(assuming 43#9% C)", 
"US-Ne2", "29377", "GRP_AG_BIOMASS_CROP", "180.586", "Foliage", "Mixed/unknown", "gC m-2", , "20030707", "(assuming 43#9% C)", 
"US-Ne2", "29378", "GRP_AG_BIOMASS_CROP", "427.385", "Foliage", "Mixed/unknown", "gC m-2", , "20030725", "(assuming 43#9% C)", 
"US-Ne2", "29379", "GRP_AG_BIOMASS_CROP", "90.7234", "Foliage", "Mixed/unknown", "gC m-2", , "20050623", "(assuming 43#9% C)", 
"US-Ne2", "29385", "GRP_AG_BIOMASS_CROP", "497.89", "Foliage", "Mixed/unknown", "gC m-2", , "20070718", "(assuming 43#9% C)", 
"US-Ne2", "29574", "GRP_AG_BIOMASS_CROP", "163", "Total", "Mixed/unknown", "gC m-2", , "20041013", , 
