"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "STATE", 
"US-PFr", "87761", "GRP_STATE", "WI", 
"US-PFs", "87802", "GRP_STATE", "WI", 
"US-PFt", "87825", "GRP_STATE", "WI", 
"US-PHM", "30039", "GRP_STATE", "MA", 
"US-PLM", "79860", "GRP_STATE", "MA", 
"US-Pnp", "79421", "GRP_STATE", "WI", 
"US-Pon", "3191", "GRP_STATE", "OK", 
"US-Prr", "11894", "GRP_STATE", "AK", 
"US-PSH", "86802", "GRP_STATE", "CA", 
"US-PSL", "86777", "GRP_STATE", "CA", 
"US-RC1", "84890", "GRP_STATE", "WA", 
"US-RC2", "84926", "GRP_STATE", "WA", 
"US-RC3", "84908", "GRP_STATE", "WA", 
"US-RC4", "84943", "GRP_STATE", "WA", 
"US-RC5", "84960", "GRP_STATE", "WA", 
"US-RFE", "29958", "GRP_STATE", "CO", 
"US-RFW", "29975", "GRP_STATE", "CO", 
"US-Rls", "30712", "GRP_STATE", "ID", 
"US-Rms", "30620", "GRP_STATE", "ID", 
"US-Ro1", "12298", "GRP_STATE", "MN", 
"US-Ro2", "14548", "GRP_STATE", "MN", 
"US-Ro3", "14574", "GRP_STATE", "MN", 
"US-Ro4", "14496", "GRP_STATE", "MN", 
"US-Ro5", "30142", "GRP_STATE", "MN", 
"US-Ro6", "30168", "GRP_STATE", "MN", 
"US-Rpf", "85291", "GRP_STATE", "AK", 
"US-RRC", "79841", "GRP_STATE", "VA", 
"US-Rwe", "88133", "GRP_STATE", "ID", 
"US-Rwf", "88129", "GRP_STATE", "ID", 
"US-Rws", "17079", "GRP_STATE", "ID", 
"US-Sag", "84685", "GRP_STATE", "AK", 
"US-SB1", "13247", "GRP_STATE", "VA", 
"US-SB2", "23561", "GRP_STATE", "VA", 
"US-SB3", "84645", "GRP_STATE", "VA", 
"US-SCc", "9179", "GRP_STATE", "CA", 
"US-SCd", "3195", "GRP_STATE", "CA", 
"US-SCf", "10012", "GRP_STATE", "CA", 
"US-SCg", "3194", "GRP_STATE", "CA", 
"US-SCs", "2343", "GRP_STATE", "CA", 
"US-SCw", "6616", "GRP_STATE", "CA", 
"US-SdH", "12282", "GRP_STATE", "NE", 
"US-SDU", "13158", "GRP_STATE", "CO", 
"US-Seg", "11627", "GRP_STATE", "NM", 
"US-Ses", "11647", "GRP_STATE", "NM", 
"US-SFP", "5762", "GRP_STATE", "SD", 
"US-SHC", "33677", "GRP_STATE", "CA", 
"US-Shd", "1497", "GRP_STATE", "OK", 
"US-SHS", "30515", "GRP_STATE", "NJ", 
"US-SJ1", "9180", "GRP_STATE", "CA", 
"US-SJ2", "6617", "GRP_STATE", "CA", 
"US-Skr", "11914", "GRP_STATE", "FL", 
"US-Slt", "13043", "GRP_STATE", "NJ", 
"US-Snd", "11245", "GRP_STATE", "CA", 
"US-Sne", "30015", "GRP_STATE", "CA", 
"US-Snf", "84763", "GRP_STATE", "CA", 
"US-SO2", "15929", "GRP_STATE", "CA", 
"US-SO3", "15947", "GRP_STATE", "CA", 
"US-SO4", "15913", "GRP_STATE", "CA", 
"US-SP1", "3993", "GRP_STATE", "FL", 
"US-SP2", "4914", "GRP_STATE", "FL", 
"US-SP3", "9176", "GRP_STATE", "FL", 
"US-SP4", "8300", "GRP_STATE", "FL", 
"US-SRC", "10014", "GRP_STATE", "AZ", 
"US-SRG", "11855", "GRP_STATE", "AZ", 
"US-SRM", "11186", "GRP_STATE", "AZ", 
