"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI", "DOI_CITATION", "DOI_DATAPRODUCT", 
"US-Dk1", "15670", "GRP_DOI", "10.17190/AMF/1246046", "Chris Oishi, Kim Novick, Paul Stoy (2001-2008) AmeriFlux US-Dk1 Duke Forest-open field, 10.17190/AMF/1246046", "AmeriFlux", 
"US-Dk2", "15637", "GRP_DOI", "10.17190/AMF/1246047", "Chris Oishi, Kim Novick, Paul Stoy (2001-2008) AmeriFlux US-Dk2 Duke Forest-hardwoods, 10.17190/AMF/1246047", "AmeriFlux", 
"US-Dk3", "15641", "GRP_DOI", "10.17190/AMF/1246048", "Chris Oishi, Kim Novick, Paul Stoy (2001-2008) AmeriFlux US-Dk3 Duke Forest - loblolly pine, 10.17190/AMF/1246048", "AmeriFlux", 
"US-DPW", "87985", "GRP_DOI", "10.17190/AMF/1562387", "Charless Ross Hinkle (2013-2017) AmeriFlux US-DPW Disney Wilderness Preserve Wetland, 10.17190/AMF/1562387", "AmeriFlux", 
"US-EDN", "87119", "GRP_DOI", "10.17190/AMF/1543381", "Patty Oikawa (2018-) AmeriFlux US-EDN Eden Landing Ecological Reserve, 10.17190/AMF/1543381", "AmeriFlux", 
"US-Elm", "15769", "GRP_DOI", "10.17190/AMF/1246118", "Gregory Starr, Steve Oberbauer (2007-) AmeriFlux US-Elm Everglades (long hydroperiod marsh), 10.17190/AMF/1246118", "AmeriFlux", 
"US-EML", "79334", "GRP_DOI", "10.17190/AMF/1418678", "Ted Schuur (2008-) AmeriFlux US-EML Eight Mile Lake Permafrost thaw gradient, Healy Alaska., 10.17190/AMF/1418678", "AmeriFlux", 
"US-Esm", "15643", "GRP_DOI", "10.17190/AMF/1246119", "Gregory Starr, Steve Oberbauer (2007-) AmeriFlux US-Esm Everglades (short hydroperiod marsh), 10.17190/AMF/1246119", "AmeriFlux", 
"US-Fcr", "87983", "GRP_DOI", "10.17190/AMF/1562388", "Masahito Ueyama, Hiroki Iwata, Yoshinobu Harazono (2011-2014) AmeriFlux US-Fcr Cascaden Ridge Fire Scar, 10.17190/AMF/1562388", "AmeriFlux", 
"US-Fmf", "15691", "GRP_DOI", "10.17190/AMF/1246050", "Sabina Dore, Thomas Kolb (2006-2010) AmeriFlux US-Fmf Flagstaff - Managed Forest, 10.17190/AMF/1246050", "AmeriFlux", 
"US-FPe", "15762", "GRP_DOI", "10.17190/AMF/1246053", "Tilden Meyers (2000-) AmeriFlux US-FPe Fort Peck, 10.17190/AMF/1246053", "AmeriFlux", 
"US-FR2", "15615", "GRP_DOI", "10.17190/AMF/1246054", "Marcy Litvak (2004-) AmeriFlux US-FR2 Freeman Ranch- Mesquite Juniper, 10.17190/AMF/1246054", "AmeriFlux", 
"US-FR3", "15743", "GRP_DOI", "10.17190/AMF/1246055", "Jim Heilman (2004-) AmeriFlux US-FR3 Freeman Ranch- Woodland, 10.17190/AMF/1246055", "AmeriFlux", 
"US-Fuf", "15746", "GRP_DOI", "10.17190/AMF/1246051", "Sabina Dore, Thomas Kolb (2006-2010) AmeriFlux US-Fuf Flagstaff - Unmanaged Forest, 10.17190/AMF/1246051", "AmeriFlux", 
"US-Fwf", "15660", "GRP_DOI", "10.17190/AMF/1246052", "Sabina Dore, Thomas Kolb (2006-2010) AmeriFlux US-Fwf Flagstaff - Wildfire, 10.17190/AMF/1246052", "AmeriFlux", 
"US-GBT", "33551", "GRP_DOI", "10.17190/AMF/1375200", "Bill Massman (1991-2006) AmeriFlux US-GBT GLEES Brooklyn Tower, 10.17190/AMF/1375200", "AmeriFlux", 
"US-GLE", "15740", "GRP_DOI", "10.17190/AMF/1246056", "Bill Massman (2004-) AmeriFlux US-GLE GLEES, 10.17190/AMF/1246056", "AmeriFlux", 
"US-GMF", "15623", "GRP_DOI", "10.17190/AMF/1246057", "Xuhui Lee (1999-2004) AmeriFlux US-GMF Great Mountain Forest, 10.17190/AMF/1246057", "AmeriFlux", 
"US-Goo", "15713", "GRP_DOI", "10.17190/AMF/1246058", "Tilden Meyers (2002-2006) AmeriFlux US-Goo Goodwin Creek, 10.17190/AMF/1246058", "AmeriFlux", 
"US-Ha1", "15667", "GRP_DOI", "10.17190/AMF/1246059", "J. William Munger (1991-) AmeriFlux US-Ha1 Harvard Forest EMS Tower (HFR1), 10.17190/AMF/1246059", "AmeriFlux", 
"US-Ha2", "15703", "GRP_DOI", "10.17190/AMF/1246060", "William Munger (2004-) AmeriFlux US-Ha2 Harvard Forest Hemlock Site, 10.17190/AMF/1246060", "AmeriFlux", 
"US-Hn2", "87989", "GRP_DOI", "10.17190/AMF/1562389", "Heping Liu, Maoyi Huang, Xingyuan Chen (2015-) AmeriFlux US-Hn2 Hanford 100H grassland, 10.17190/AMF/1562389", "AmeriFlux", 
"US-Hn3", "87132", "GRP_DOI", "10.17190/AMF/1543379", "Heping Liu, Maoyi Huang, Xingyuan Chen (2017-) AmeriFlux US-Hn3 Hanford 100H sagebrush, 10.17190/AMF/1543379", "AmeriFlux", 
"US-Ho1", "15651", "GRP_DOI", "10.17190/AMF/1246061", "David Hollinger (1996-) AmeriFlux US-Ho1 Howland Forest (main tower), 10.17190/AMF/1246061", "AmeriFlux", 
"US-Ho2", "15673", "GRP_DOI", "10.17190/AMF/1246062", "David Hollinger (1999-) AmeriFlux US-Ho2 Howland Forest (west tower), 10.17190/AMF/1246062", "AmeriFlux", 
"US-Ho3", "15753", "GRP_DOI", "10.17190/AMF/1246063", "David Hollinger (2000-) AmeriFlux US-Ho3 Howland Forest (harvest site), 10.17190/AMF/1246063", "AmeriFlux", 
"US-HRA", "87130", "GRP_DOI", "10.17190/AMF/1543376", "Benjamin R. K. Runkle (2017-2017) AmeriFlux US-HRA Humnoke Farm Rice Field - AWD, 10.17190/AMF/1543376", "AmeriFlux", 
"US-HRC", "87123", "GRP_DOI", "10.17190/AMF/1543375", "Michele L. Reba (None-) AmeriFlux US-HRC Humnoke Farm Rice Field - conventional, 10.17190/AMF/1543375", "AmeriFlux", 
"US-HVa", "15725", "GRP_DOI", "10.17190/AMF/1246064", "Walt Oechel (1994-1995) AmeriFlux US-HVa Happy Valley, 10.17190/AMF/1246064", "AmeriFlux", 
"US-IB1", "15737", "GRP_DOI", "10.17190/AMF/1246065", "Roser Matamala (2005-) AmeriFlux US-IB1 Fermi National Accelerator Laboratory- Batavia (Agricultural site), 10.17190/AMF/1246065", "AmeriFlux", 
