"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_POWER", 
"US-xSC", "86208", "GRP_TOWER_POWER", "Direct power", 
"US-xSE", "81890", "GRP_TOWER_POWER", "Direct power", 
"US-xSJ", "86326", "GRP_TOWER_POWER", "Direct power", 
"US-xSL", "87110", "GRP_TOWER_POWER", "Direct power", 
"US-xSP", "86378", "GRP_TOWER_POWER", "Direct power", 
"US-xSR", "79772", "GRP_TOWER_POWER", "Direct power", 
"US-xST", "86354", "GRP_TOWER_POWER", "Direct power", 
"US-xTA", "86362", "GRP_TOWER_POWER", "Direct power", 
"US-xTE", "86306", "GRP_TOWER_POWER", "Direct power", 
"US-xTL", "86226", "GRP_TOWER_POWER", "Direct power", 
"US-xTR", "86449", "GRP_TOWER_POWER", "Direct power", 
"US-xUK", "86138", "GRP_TOWER_POWER", "Direct power", 
"US-xUN", "79738", "GRP_TOWER_POWER", "Direct power", 
"US-xWD", "79306", "GRP_TOWER_POWER", "Direct power", 
"US-xWR", "86098", "GRP_TOWER_POWER", "Direct power", 
"US-xYE", "86111", "GRP_TOWER_POWER", "Direct power", 
