"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_BIOMASS", "AG_LIT_BIOMASS_UNIT", "AG_LIT_BIOMASS_DATE", "AG_LIT_BIOMASS_COMMENT", "AG_LIT_BIOMASS_SPATIAL_VARIABILITY", "AG_LIT_BIOMASS_SPATIAL_REP_NUMBER", "AG_LIT_BIOMASS_APPROACH", "AG_LIT_BIOMASS_DATE_UNC", 
"CA-Let", "26625", "GRP_AG_LIT_BIOMASS", "184.35411", "gC m-2", "20050524", "mass of dead plant material", , , , , 
"CA-Let", "26626", "GRP_AG_LIT_BIOMASS", "169.805028", "gC m-2", "20050620", "mass of dead plant material", , , , , 
"CA-Let", "26627", "GRP_AG_LIT_BIOMASS", "169.796352", "gC m-2", "20050929", "mass of dead plant material", , , , , 
"CA-Let", "26628", "GRP_AG_LIT_BIOMASS", "206.99206", "gC m-2", "20060731", "mass of dead plant material", , , , , 
"CA-SJ1", "27306", "GRP_AG_LIT_BIOMASS", "7.1", "gC m-2", "2005", "2004/05; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ1", "27567", "GRP_AG_LIT_BIOMASS", "7.1", "gC m-2", "2004", "2004/05; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ1", "29018", "GRP_AG_LIT_BIOMASS", "14.7", "gC m-2", "2004", "2003/04; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ1", "29130", "GRP_AG_LIT_BIOMASS", "14.7", "gC m-2", "2003", "2003/04; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ3", "26995", "GRP_AG_LIT_BIOMASS", "66", "gC m-2", "2004", "(2003/04); Litter measured from last budbursting to current year budbursting", , , , , 
"CA-SJ3", "27555", "GRP_AG_LIT_BIOMASS", "74", "gC m-2", "2005", "(2004/2005); Litter measured from last budbursting to current year budbursting", , , , , 
"CA-TP1", "27286", "GRP_AG_LIT_BIOMASS", "82.8", "gC m-2", "20040609", "LFH layer consist almost entirely of decomposing annual herbs", , , , , 
"CA-TP1", "28172", "GRP_AG_LIT_BIOMASS", "93", "gC m-2", "20070721", "LFH layer consist almost entirely of decomposing annual herbs", , , , , 
"CA-TP2", "27292", "GRP_AG_LIT_BIOMASS", "714", "gC m-2", "20070721", , , , , , 
"CA-TP2", "29473", "GRP_AG_LIT_BIOMASS", "745", "gC m-2", "20040609", , , , , , 
"CA-TP3", "29015", "GRP_AG_LIT_BIOMASS", "405", "gC m-2", "20070721", , , , , , 
"CA-TP3", "29476", "GRP_AG_LIT_BIOMASS", "545", "gC m-2", "20040604", , , , , , 
"CA-TP4", "25244", "GRP_AG_LIT_BIOMASS", "1024", "gC m-2", "20040604", , , , , , 
"CA-TP4", "25981", "GRP_AG_LIT_BIOMASS", "847", "gC m-2", "20070721", , , , , , 
"CA-WP1", "25372", "GRP_AG_LIT_BIOMASS", "13.61", "gC m-2", "20061115", "134/2006-319/2006; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25482", "GRP_AG_LIT_BIOMASS", "14.1", "gC m-2", "20051102", "151/2005-306/2005; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25632", "GRP_AG_LIT_BIOMASS", "9.44", "gC m-2", "20031115", "226-319/2003; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25633", "GRP_AG_LIT_BIOMASS", "3.95", "gC m-2", "20040531", "319/2003-152/2004; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25745", "GRP_AG_LIT_BIOMASS", "15.15", "gC m-2", "20041108", "152/2004-313/2004; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25853", "GRP_AG_LIT_BIOMASS", "2.44", "gC m-2", "20050531", "313/2004-151/2005; measured followed Fluxnet-Canada protocols", , , , , 
"CA-WP1", "25854", "GRP_AG_LIT_BIOMASS", "3.84", "gC m-2", "20060514", "306/2005-134/2006; measured followed Fluxnet-Canada protocols", , , , , 
"US-Bar", "24245", "GRP_AG_LIT_BIOMASS", "40", "gC m-2", "2004", "other (annual)", , , , , 
"US-Bar", "24246", "GRP_AG_LIT_BIOMASS", "25", "gC m-2", "2004", "large branches (annual)", , , , , 
"US-Bar", "25003", "GRP_AG_LIT_BIOMASS", "110", "gC m-2", "2004", "leaf litter (annual)", , , , , 
"US-Dk2", "24118", "GRP_AG_LIT_BIOMASS", "480", "gC m-2", "2005", "Measured with litter baskets, annual sum of dry weight (not C)", , , , , 
"US-Dk2", "25026", "GRP_AG_LIT_BIOMASS", "480", "gC m-2", "2002", "Measured with litter baskets, annual sum of dry weight (not C)", , , , , 
"US-Dk2", "25027", "GRP_AG_LIT_BIOMASS", "480", "gC m-2", "2003", "Measured with litter baskets, annual sum of dry weight (not C)", , , , , 
"US-Dk2", "25546", "GRP_AG_LIT_BIOMASS", "480", "gC m-2", "2004", "Measured with litter baskets, annual sum of dry weight (not C)", , , , , 
"US-Dk3", "25912", "GRP_AG_LIT_BIOMASS", "226", "gC m-2", "2002", "Reference: Lichter J, Barron S, Finzi A, Irving K, Roberts M, Stemmler E and W Schlesinger. 2005.  Soil carbon sequestration and turnover in a pine forest after six years of atmospheric CO2 enrichment. Ecology 86(7):1835-1847", , , , , 
"US-Dk3", "27850", "GRP_AG_LIT_BIOMASS", "200", "gC m-2", "2001", "Reference: Lichter J, Barron S, Finzi A, Irving K, Roberts M, Stemmler E and W Schlesinger. 2005.  Soil carbon sequestration and turnover in a pine forest after six years of atmospheric CO2 enrichment. Ecology 86(7):1835-1847", , , , , 
"US-Dk3", "28946", "GRP_AG_LIT_BIOMASS", "226", "gC m-2", "2004", "Reference: Lichter J, Barron S, Finzi A, Irving K, Roberts M, Stemmler E and W Schlesinger. 2005.  Soil carbon sequestration and turnover in a pine forest after six years of atmospheric CO2 enrichment. Ecology 86(7):1835-1847", , , , , 
"US-Dk3", "28949", "GRP_AG_LIT_BIOMASS", "234", "gC m-2", "2003", "Reference: Lichter J, Barron S, Finzi A, Irving K, Roberts M, Stemmler E and W Schlesinger. 2005.  Soil carbon sequestration and turnover in a pine forest after six years of atmospheric CO2 enrichment. Ecology 86(7):1835-1847", , , , , 
"US-IB2", "23863", "GRP_AG_LIT_BIOMASS", "233", "gC m-2", "20050314", , , , , , 
"US-IB2", "23997", "GRP_AG_LIT_BIOMASS", "156", "gC m-2", "20060515", , , , , , 
"US-IB2", "24108", "GRP_AG_LIT_BIOMASS", "429", "gC m-2", "20060908", , , , , , 
"US-IB2", "24263", "GRP_AG_LIT_BIOMASS", "376", "gC m-2", "20061104", , , , , , 
"US-IB2", "24264", "GRP_AG_LIT_BIOMASS", "270", "gC m-2", "20070322", , , , , , 
"US-IB2", "24370", "GRP_AG_LIT_BIOMASS", "62", "gC m-2", "20051015", , , , , , 
"US-IB2", "24648", "GRP_AG_LIT_BIOMASS", "48", "gC m-2", "20070822", , , , , , 
"US-IB2", "24768", "GRP_AG_LIT_BIOMASS", "9", "gC m-2", "20050715", , , , , , 
"US-IB2", "25015", "GRP_AG_LIT_BIOMASS", "12", "gC m-2", "20070615", , , , , , 
"US-IB2", "25146", "GRP_AG_LIT_BIOMASS", "137", "gC m-2", "20060719", , , , , , 
"US-Me1", "25083", "GRP_AG_LIT_BIOMASS", "4.5", "gC m-2", "2003", , , , , , 
"US-Me2", "19653", "GRP_AG_LIT_BIOMASS", "1147.2323301", "gC m-2", "2001", , , , , , 
"US-Me3", "24580", "GRP_AG_LIT_BIOMASS", "47.6", "gC m-2", "2003", , , , , , 
"US-Me4", "23813", "GRP_AG_LIT_BIOMASS", "1195", "gC m-2", "2001", "sampled using PVC ring of 82.5 square centimeters area at 6 locations/plot.", , , , , 
"US-Me4", "24697", "GRP_AG_LIT_BIOMASS", "1127", "gC m-2", "2001", "sampled using PVC ring of 82.5 square centimeters area at 6 locations/plot.", , , , , 
"US-Me5", "24305", "GRP_AG_LIT_BIOMASS", "1696", "gC m-2", "2001", "sampled using PVC ring of 82.5 square centimeters area at 6 locations/plot (value for this site sems high. J.I)", , , , , 
"US-Me6", "19670", "GRP_AG_LIT_BIOMASS", "14.746700196", "gC m-2", "2010", , "11.606175903", , , , 
"US-MMS", "18297", "GRP_AG_LIT_BIOMASS", "206", "gC m-2", "2003", , , , , , 
"US-MMS", "18300", "GRP_AG_LIT_BIOMASS", "207", "gC m-2", "2004", , , , , , 
"US-MMS", "18303", "GRP_AG_LIT_BIOMASS", "211", "gC m-2", "2005", , , , , , 
"US-MMS", "18359", "GRP_AG_LIT_BIOMASS", "198", "gC m-2", "1998", , , , , , 
"US-MMS", "18366", "GRP_AG_LIT_BIOMASS", "211", "gC m-2", "1999", , , , , , 
"US-MMS", "18371", "GRP_AG_LIT_BIOMASS", "209", "gC m-2", "2000", , , , , , 
"US-MMS", "18375", "GRP_AG_LIT_BIOMASS", "190", "gC m-2", "2001", , , , , , 
"US-MMS", "18379", "GRP_AG_LIT_BIOMASS", "213", "gC m-2", "2002", , , , , , 
"US-MOz", "24085", "GRP_AG_LIT_BIOMASS", "539.11", "gC m-2", "2005", "Liitter data from frequent collections of 48 0.225 m2 litter traps on 24 permanent plots (2 traps per plot); all data included (twigs >1 cm very small contribution)", , , , , 
"US-MOz", "24489", "GRP_AG_LIT_BIOMASS", "463.95", "gC m-2", "2004", "Liitter data from frequent collections of 48 0.225 m2 litter traps on 24 permanent plots (2 traps per plot); all data included (twigs >1 cm very small contribution)", , , , , 
"US-MOz", "24490", "GRP_AG_LIT_BIOMASS", "640.31", "gC m-2", "2006", "Liitter data from frequent collections of 48 0.225 m2 litter traps on 24 permanent plots (2 traps per plot); all data included (twigs >1 cm very small contribution)", , , , , 
"US-Slt", "29298", "GRP_AG_LIT_BIOMASS", "453.0", "gC m-2", "20080601", "24 1 m2 plots, L horizon only", "92.0", , , , 
"US-Slt", "29610", "GRP_AG_LIT_BIOMASS", "397.0", "gC m-2", "20040601", "10 1 m2 plots, L horizon only", "62.8", , , , 
"US-SP1", "29202", "GRP_AG_LIT_BIOMASS", "842", "gC m-2", "2007", "842 ± 277", , , , , 
"US-SP3", "29189", "GRP_AG_LIT_BIOMASS", "1600", "gC m-2", "2007", , , , , , 
"US-UMB", "18392", "GRP_AG_LIT_BIOMASS", "12.6", "gC m-2", "19980630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.", "18", "61", "Litter debris collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
"US-UMB", "18403", "GRP_AG_LIT_BIOMASS", "66.1", "gC m-2", "19990630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.", "163.9", "61", "Litter debris collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
"US-UMB", "18414", "GRP_AG_LIT_BIOMASS", "39.9", "gC m-2", "20000630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.", "29.5", "60", "Litter debris collected from litter traps of .179 m^2 in area.  One trap in each of 59 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
"US-UMB", "18424", "GRP_AG_LIT_BIOMASS", "36.9", "gC m-2", "20010630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.  Five - 10 sample plots pooled for debris resulting in 7 replicates.", "17.5", "7", "Litter debris collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
"US-UMB", "18434", "GRP_AG_LIT_BIOMASS", "18.6", "gC m-2", "20020630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.  New type of litter traps installed across all plots in 2002.", "20.8", "31", "Litter debris collected from litter traps of .264 m^2 in area.  One trap in each of 30 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center", "182", 
"US-UMB", "18436", "GRP_AG_LIT_BIOMASS", "57.6", "gC m-2", "20050630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.  Includes 16.2 ± 50.3 of Quercus rubra acorns.", "78", "50", "Litter debris collected from litter traps of .264 m^2 in area.  One trap in each of 49 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
"US-UMB", "18445", "GRP_AG_LIT_BIOMASS", "35.8", "gC m-2", "20060630", "Litter does NOT include identifiable leaves, but includes leaf fragments, seeds, flowers, lichens and fine woody debris collected from litter traps.", "25", "50", "Litter debris collected from litter traps of .264 m^2 in area.  One trap in each of 49 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center", "182", 
